Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked,Age_clean,Embarked_clean,Fare_clean,Fare_clean_transform,Title,Cabin_indicator,Family
2,1,30.0,0,0,13.0,147,2,30.0,3,13.0,1.6702776523348104,11,0,0
2,1,47.0,0,0,15.0,147,2,47.0,3,15.0,1.7187719275874789,11,0,0
3,1,24.0,0,0,7.7958,147,2,24.0,3,7.7958,1.5078985992178087,11,0,0
3,1,27.0,0,0,8.6625,147,2,27.0,3,8.6625,1.5400281152322484,11,0,0
3,0,25.0,0,0,7.775,147,2,25.0,3,7.775,1.5070930932320792,8,0,0
2,1,21.0,1,0,11.5,147,2,21.0,3,11.5,1.629819719346329,11,0,1
2,0,19.0,1,0,26.0,147,2,19.0,3,26.0,1.9186451916253062,12,0,1
3,1,12.0,1,0,11.2417,147,0,12.0,1,11.2417,1.6224316067712792,7,0,1
2,1,23.0,0,0,15.0458,147,0,23.0,1,15.0458,1.7198202447472404,11,0,0
2,1,,0,0,0.0,147,2,29.69911764705882,3,0.0,0.0,11,0,0
3,1,20.0,0,0,7.8542,147,2,20.0,3,7.8542,1.5101510578167703,11,0,0
3,0,4.0,0,1,13.4167,147,0,4.0,1,13.4167,1.6808507094662855,8,0,1
3,1,40.0,0,0,7.225,147,0,40.0,1,7.225,1.4851405983548165,11,0,0
1,0,14.0,1,2,120.0,47,2,14.0,3,120.0,2.605171084697352,8,1,3
3,1,30.0,0,0,7.25,147,2,30.0,3,7.25,1.4861669577303998,11,0,0
3,1,17.0,1,0,7.0542,147,2,17.0,3,7.0542,1.4780514564280194,11,0,1
1,1,38.0,1,0,90.0,87,2,38.0,3,90.0,2.4595094858493636,11,1,1
3,1,,0,0,7.225,147,0,29.69911764705882,1,7.225,1.4851405983548165,11,0,0
2,0,57.0,0,0,10.5,136,2,57.0,3,10.5,1.6004343344404715,12,1,0
1,0,53.0,2,0,51.4792,48,2,53.0,3,51.4792,2.1995121120457117,12,1,2
2,0,18.0,0,2,13.0,147,2,18.0,3,13.0,1.6702776523348104,8,0,2
3,1,,0,0,15.1,147,2,29.69911764705882,3,15.1,1.7210575366331087,11,0,0
3,1,26.0,0,0,7.8958,147,2,26.0,3,7.8958,1.5117473912278288,11,0,0
1,0,51.0,1,0,77.9583,92,2,51.0,3,77.9583,2.389860064162019,12,1,1
2,0,40.0,1,1,39.0,147,2,40.0,3,39.0,2.080716549261844,12,0,2
1,0,35.0,1,0,53.1,55,2,35.0,3,53.1,2.2131910445428153,12,1,1
2,1,25.0,0,0,13.0,147,2,25.0,3,13.0,1.6702776523348104,11,0,0
1,0,36.0,0,0,135.6333,65,0,36.0,1,135.6333,2.669766416466719,8,1,0
3,1,28.0,0,0,9.5,147,2,28.0,3,9.5,1.5687174265360497,11,0,0
2,1,35.0,0,0,10.5,147,2,35.0,3,10.5,1.6004343344404715,11,0,0
3,0,,1,0,15.5,147,1,29.69911764705882,2,15.5,1.7300806134344884,12,0,1
3,1,20.0,0,0,9.225,147,2,20.0,3,9.225,1.5595283534018567,11,0,0
1,1,,0,0,27.7208,147,0,29.69911764705882,1,27.7208,1.9433953171183058,11,0,0
3,1,24.0,1,0,16.1,147,2,24.0,3,16.1,1.7432720823741534,11,0,1
3,1,33.0,1,1,20.525,147,2,33.0,3,20.525,1.8300233586613721,11,0,2
2,1,18.0,0,0,73.5,147,2,18.0,3,73.5,2.3618780376616875,11,0,0
2,0,34.0,0,0,13.0,147,2,34.0,3,13.0,1.6702776523348104,8,0,0
3,0,18.0,0,1,14.4542,147,0,18.0,1,14.4542,1.7060777218137082,8,0,1
3,1,47.0,0,0,9.0,147,2,47.0,3,9.0,1.5518455739153598,11,0,0
3,1,30.0,0,0,7.2292,147,0,30.0,1,7.2292,1.4853132250847014,11,0,0
2,0,19.0,0,0,26.0,147,2,19.0,3,26.0,1.9186451916253062,8,0,0
3,1,22.0,0,0,9.35,147,2,22.0,3,9.35,1.5637319948690074,11,0,0
3,0,25.0,1,0,7.925,147,2,25.0,3,7.925,1.512863880222077,8,0,1
3,0,,2,0,23.25,147,1,29.69911764705882,2,23.25,1.8762235871661006,8,0,2
1,0,24.0,0,0,69.3,24,0,24.0,1,69.3,2.334246127149303,10,1,0
3,1,36.0,1,0,15.55,147,2,36.0,3,15.55,1.7311953570230825,11,0,1
1,1,38.0,0,1,153.4625,85,2,38.0,3,153.4625,2.736531513440587,11,1,1
1,1,45.0,0,0,35.5,146,2,45.0,3,35.5,2.041952666077473,11,1,0
3,0,10.0,0,2,24.15,147,2,10.0,3,24.15,1.8905293628517985,8,0,2
3,1,19.0,0,0,10.1708,147,2,19.0,3,10.1708,1.59027057377503,11,0,0
3,1,41.0,2,0,14.1083,147,2,41.0,3,14.1083,1.6978328697498897,11,0,2
1,1,35.0,0,0,512.3292,15,0,35.0,1,249.00622000000033,3.014685687666116,11,1,0
3,1,17.0,0,0,8.6625,147,2,17.0,3,8.6625,1.5400281152322484,11,0,0
3,1,,0,0,8.05,147,2,29.69911764705882,3,8.05,1.5176064932892266,11,0,0
3,0,20.0,0,0,8.6625,147,2,20.0,3,8.6625,1.5400281152322484,8,0,0
3,0,,0,0,8.05,147,2,29.69911764705882,3,8.05,1.5176064932892266,12,0,0
3,1,4.0,3,2,27.9,147,2,4.0,3,27.9,1.9459014453829317,7,0,5
1,1,35.0,0,0,26.55,147,0,35.0,1,26.55,1.9266947105086853,11,0,0
3,0,,1,2,23.45,147,2,29.69911764705882,3,23.45,1.8794404489039271,8,0,3
3,1,22.0,0,0,7.5208,147,2,22.0,3,7.5208,1.4971068860512269,11,0,0
3,1,40.0,1,4,27.9,147,2,40.0,3,27.9,1.9459014453829317,11,0,5
2,0,8.0,0,2,26.25,147,2,8.0,3,26.25,1.9223207840792598,8,0,2
3,1,25.0,0,0,7.7417,147,1,25.0,2,7.7417,1.5057999125305375,11,0,0
